bbl,address,bldgclass,landuse,yearbuilt,unitsres,unitstotal,numbldgs,assesstot,latitude,longitude,source
2028560001,21 EAST CLARKE PLACE,F4,6,1920,0,1,1,725850.0,40.8388823,-73.9195853,listed lot
2028560011,1342 INWOOD AVENUE,F5,6,1990,0,1,1,1755000.0,40.8395133,-73.9192665,listed lot
2028560019,1364 INWOOD AVENUE,E9,6,1909,0,1,1,95400.0,40.8398069,-73.9191324,listed lot
2028560020,1363 JEROME AVENUE,O2,5,1966,0,3,1,3879900.0,40.8398808,-73.9187818,listed lot
2028560023,1376 INWOOD AVENUE,V0,11,0,0,0,2,18240.0,40.8400978,-73.9189911,listed lot
2028560024,1378 INWOOD AVENUE,C0,2,1920,3,3,1,0.0,,,listed lot
2028560029,14 WEST 170 STREET,P9,8,1972,0,1,1,3859200.0,40.8402595,-73.9186693,listed lot
2028560045,1345 JEROME AVENUE,M1,8,1931,0,1,1,496350.0,40.8392277,-73.9189163,listed lot
2028560049,1339 JEROME AVENUE,E9,6,1925,0,1,1,558000.0,40.8391263,-73.9191839,listed lot
2028560051,1337 JEROME AVENUE,O1,5,1920,0,1,1,461250.0,40.8389423,-73.9190648,listed lot
2028560141,1351 JEROME AVENUE,D6,4,2024,247,249,1,15632550.0,40.8394966,-73.9188292,listed lot
2028570001,1400 CROMWELL AVENUE,W3,8,2023,0,1,1,9632700.0,40.8409708,-73.9192394,listed lot
2028570006,CROMWELL AVENUE,Z9,,0,0,0,0,93600.0,40.8411381,-73.9190874,listed lot
2028570021,1446 CROMWELL AVENUE,V0,11,0,0,0,0,21120.0,40.8419776,-73.9185877,listed lot
2028570022,1448 CROMWELL AVENUE,V0,11,0,0,0,0,21300.0,40.8420352,-73.9185442,listed lot
2028570024,CROMWELL AVENUE,G6,10,0,0,0,0,15368.0,,,listed lot
